TOKEN          Lexemes
KEYWORD         int
IDENTIFIER      num
SEPARATOR       ,
IDENTIFIER      nu2m
SEPARATOR       ,
IDENTIFIER      large$
SEPARATOR       ;
IDENTIFIER      num
OPERATOR        =
INTEGER         0
SEPARATOR       ;
IDENTIFIER      nu2m
OPERATOR        =
INTEGER         15
SEPARATOR       ;
KEYWORD         boolean
IDENTIFIER      hey
SEPARATOR       ;
IDENTIFIER      hey
OPERATOR        =
IDENTIFIER      true
SEPARATOR       ;
IDENTIFIER      hey
OPERATOR        =
IDENTIFIER      false
SEPARATOR       ;
KEYWORD         if
SEPARATOR       (
IDENTIFIER      num
OPERATOR        >
IDENTIFIER      nu2m
SEPARATOR       )
SEPARATOR       {
IDENTIFIER      large$
OPERATOR        =
IDENTIFIER      num
SEPARATOR       ;
SEPARATOR       }
KEYWORD         else
SEPARATOR       {
IDENTIFIER      large$
OPERATOR        =
IDENTIFIER      nu2m
SEPARATOR       ;
SEPARATOR       }
KEYWORD         endif
